# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# FG       = Etmaalgemiddelde windsnelheid (in 0.1 m/s); 
# FHN      = Laagste uurgemiddelde windsnelheid (in 0.1 m/s); 
# FHNH     = Uurvak waarin FHN is gemeten; 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TNH      = Uurvak waarin TN is gemeten; 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# TXH      = Uurvak waarin TX is gemeten; 
# DR       = Duur van de neerslag (in 0.1 uur); 
# RH       = Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# RHX      = Hoogste uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# RHXH     = Uurvak waarin RHX is gemeten; 
# NG       = Etmaalgemiddelde bewolking (bedekkingsgraad van de bovenlucht in achtsten, 9=bovenlucht onzichtbaar); 
# 
# STN,YYYYMMDD,   FG,  FHN, FHNH,   TG,   TN,  TNH,   TX,  TXH,   DR,   RH,  RHX, RHXH,   NG
# 
  344,20110310,   98,   60,    1,   79,   52,    3,  108,   13,    4,    1,    1,   24,    7
  344,20110311,   48,   20,   22,   71,   40,   22,   96,   12,    0,    0,    0,    1,    3
  344,20110312,   40,   30,    2,   96,   47,    2,  136,   15,    0,   -1,   -1,   22,    6
  344,20110313,   41,   20,   18,  111,   96,    6,  133,   16,    0,   -1,   -1,   23,    8
  344,20110314,   23,    0,    6,  106,   63,    5,  146,   13,    0,    0,    0,    1,    7
  344,20110315,   57,   40,    1,  113,   68,    2,  161,   15,    0,    0,    0,    1,    3
  344,20110316,   63,   40,    5,   76,   52,   24,  120,   15,    0,    0,    0,    1,    4
  344,20110317,   37,   30,    5,   52,   46,    3,   63,   14,    0,   -1,   -1,   20,    8
  344,20110318,   28,   20,    3,   63,   50,    1,   79,   12,   87,   95,   16,   14,    8
  344,20110319,   18,    0,   22,   44,    0,   24,  102,   16,    0,    0,    0,    1,    1
  344,20110320,   16,    0,    1,   48,  -19,    4,  113,   15,    0,    0,    0,    1,    2
  344,20110321,   18,    0,   22,   65,   -4,    4,  138,   15,    0,    0,    0,    1,    0
  344,20110322,   18,    0,    5,   76,    2,    5,  149,   13,    0,    0,    0,    1,    0
  344,20110323,   20,   10,    1,   75,    7,    5,  144,   15,    0,    0,    0,    1,    4
  344,20110324,   20,    0,    8,   92,   19,    5,  159,   15,    0,    0,    0,    1,    2
  344,20110325,   23,   10,    1,   94,   48,    5,  155,   13,    0,    0,    0,    1,    4
  344,20110326,   26,   10,    1,   52,   13,    5,   75,   14,   45,   21,    8,   12,    7
  344,20110327,   28,   10,   24,   65,    9,   24,  123,   15,    0,    0,    0,    1,    3
  344,20110328,   18,    0,    6,   53,   -3,    4,  113,   16,    0,    0,    0,    1,    2
  344,20110329,   15,    0,    1,   70,  -12,    2,  147,   15,    0,    0,    0,    1,    1
  344,20110330,   41,    0,    2,   97,   28,    2,  146,   11,   13,    3,    2,   24,    7
  344,20110331,   85,   50,    3,  109,   88,    3,  136,   15,   35,   39,   16,    9,    8
  344,20110401,   62,   20,   19,  124,   96,    1,  161,   16,    0,   -1,   -1,    5,    6
  344,20110402,   55,   30,   24,  151,  103,   24,  234,   15,   15,   10,    4,   23,    3
  344,20110403,   33,   20,   18,  107,   85,   24,  147,   14,    7,   12,   12,    1,    7
  344,20110404,   55,   30,    5,   95,   55,    6,  127,   13,    0,    0,    0,    1,    6
  344,20110405,   78,   60,    1,  100,   76,    2,  113,   13,    5,    2,    2,    8,    8
  344,20110406,   48,   10,   23,  139,   96,   24,  195,   16,    0,    0,    0,    1,    4
  344,20110407,   37,   10,   21,  113,   60,   24,  155,   11,    0,    0,    0,    1,    4
  344,20110408,   24,    0,    4,   96,   47,    6,  150,   13,    0,    0,    0,    1,    0
  344,20110409,   30,   10,    2,   96,   34,    4,  154,   13,    0,    0,    0,    1,    1
  344,20110410,   30,   10,   21,  110,   29,    6,  183,   14,    0,    0,    0,    1,    1
  344,20110411,   34,    0,    5,  122,   51,    5,  200,   12,   21,   33,   21,   22,    3
  344,20110412,   56,   20,   24,   78,   26,   23,  110,   15,    0,   -1,   -1,   10,    4
  344,20110413,   30,   10,   21,   85,   35,    5,  127,   14,    0,    0,    0,    1,    4
  344,20110414,   19,   10,    1,   93,   73,    4,  124,   15,    0,    0,    0,    1,    8
  344,20110415,   16,    0,   22,   98,   45,    4,  150,   13,    0,    0,    0,    1,    4
  344,20110416,   17,    0,    5,  106,   29,    3,  166,   13,    0,   -1,   -1,   17,    6
  344,20110417,   19,    0,    4,  113,   31,    5,  179,   14,    0,    0,    0,    1,    4
  344,20110418,   33,   10,    1,  128,   53,    5,  186,   14,    0,    0,    0,    1,    0
  344,20110419,   18,   10,    4,  154,   69,    5,  238,   15,    0,    0,    0,    1,    0
  344,20110420,   24,    0,    1,  160,   71,    4,  232,   14,    0,    0,    0,    1,    0
  344,20110421,   18,   10,    1,  162,   71,    5,  247,   14,    0,    0,    0,    1,    2
  344,20110422,   28,   10,    1,  180,  111,    3,  253,   14,    0,   -1,   -1,   17,    4
  344,20110423,   30,   10,    3,  189,  122,   24,  259,   14,    0,   -1,   -1,    3,    1
  344,20110424,   19,   10,    1,  164,   90,    5,  255,   15,    0,    0,    0,    1,    0
  344,20110425,   26,   10,    1,  159,   61,    3,  235,   15,    0,    0,    0,    1,    0
  344,20110426,   39,   10,    1,  142,   66,    4,  209,   14,    0,    0,    0,    1,    1
  344,20110427,   43,   30,    3,  110,   82,    3,  142,   11,    6,    9,    6,   24,    6
  344,20110428,   33,   10,    5,  135,   95,   24,  182,   16,    8,   10,    9,   12,    6
  344,20110429,   47,   10,    1,  162,   86,    1,  226,   16,    6,    6,    6,   22,    4
  344,20110430,   65,   40,    2,  152,   96,    5,  217,   15,    0,    0,    0,    1,    0
  344,20110501,   67,   40,    4,  131,   67,    5,  195,   14,    0,    0,    0,    1,    0
  344,20110502,   69,   30,    5,  104,   57,    5,  153,   14,    0,    0,    0,    1,    1
  344,20110503,   47,   20,   23,   86,   32,    5,  138,   14,    0,    0,    0,    1,    0
  344,20110504,   23,    0,    5,   84,   12,    4,  138,   15,    0,    0,    0,    1,    2
  344,20110505,   23,   10,    4,  119,   29,    5,  186,   15,    0,    0,    0,    1,    1
  344,20110506,   28,   10,    3,  166,   60,    5,  236,   16,    0,    0,    0,    1,    2
  344,20110507,   46,   20,    3,  211,  102,    5,  283,   16,    0,    0,    0,    1,    1
  344,20110508,   41,   10,   24,  201,  139,   24,  268,   13,   10,    7,    4,   24,    5
  344,20110509,   18,   10,    1,  158,  101,   24,  211,   16,    6,    2,    2,    1,    5
  344,20110510,   19,   10,    1,  154,   92,    1,  219,   13,   23,   28,   15,    6,    6
  344,20110511,   27,   10,    2,  139,   89,    4,  190,   10,    0,    0,    0,    1,    3
  344,20110512,   40,   20,    1,  129,   82,   24,  169,   10,    0,    0,    0,    1,    5
  344,20110513,   26,   10,    6,  135,   76,    1,  196,   13,    0,    0,    0,    1,    4
  344,20110514,   44,   30,    1,  118,   96,    2,  152,   15,    0,   -1,   -1,   18,    5
  344,20110515,   40,   10,   21,  118,   93,    1,  147,   14,    5,   17,   17,    6,    6
  344,20110516,   64,   50,    1,  135,  119,    7,  152,   16,   52,   33,   12,    7,    8
  344,20110517,   45,   30,    3,  142,  120,    5,  169,   17,   12,   11,   10,    5,    7
  344,20110518,   47,   30,    5,  143,  127,   22,  163,   13,    0,   -1,   -1,   15,    7
  344,20110519,   20,    0,   24,  127,   76,   24,  174,   14,   22,    7,    3,    4,    6
  344,20110520,   25,    0,    3,  132,   57,    4,  195,   12,    0,    0,    0,    1,    3
  344,20110521,   19,   10,    1,  160,   68,    2,  227,   16,    0,    0,    0,    1,    1
  344,20110522,   62,   10,    1,  150,  124,   24,  179,   11,   27,   33,   11,    5,    5
  344,20110523,   62,   30,    3,  158,   98,    4,  220,   15,    0,    0,    0,    1,    2
  344,20110524,   59,   40,    4,  134,  104,    4,  162,   14,    0,    0,    0,    1,    3
  344,20110525,   33,   20,    1,  167,   84,    5,  223,   16,    0,    0,    0,    1,    2
  344,20110526,   84,   40,    1,  146,  118,   24,  178,    7,   14,   16,    8,   24,    8
  344,20110527,   49,   20,   20,  127,   95,   22,  156,   14,    9,   18,    9,    2,    6
  344,20110528,   71,   40,    1,  132,  107,    3,  164,   11,   12,    4,    3,   16,    7
  344,20110529,   73,   40,   22,  158,  130,   22,  208,   13,    0,    0,    0,    1,    6
  344,20110530,   39,   20,    2,  189,  130,    1,  287,   15,    5,    3,    3,   21,    6
  344,20110531,   41,   10,   23,  125,   67,   24,  161,   14,   26,   16,   11,    7,    6
  344,20110601,   21,    0,    5,  132,   44,    3,  194,   14,    0,    0,    0,    1,    0
  344,20110602,   39,    0,    4,  163,   54,    4,  227,   15,    0,    0,    0,    1,    0
  344,20110603,   63,   40,    1,  191,  130,    4,  252,   15,    0,    0,    0,    1,    0
  344,20110604,   66,   40,    1,  210,  145,   24,  280,   13,    0,    0,    0,    1,    2
  344,20110605,   35,   10,   22,  160,  133,   22,  205,   17,   23,    9,    5,    9,    6
  344,20110606,   24,   10,    1,  145,  114,   22,  199,   13,   21,   42,   28,    9,    8
  344,20110607,   25,   10,    4,  150,  106,   24,  206,   16,   40,   45,   13,   22,    8
  344,20110608,   57,   10,    1,  144,  106,    1,  190,   14,   19,   11,    9,    1,    3
  344,20110609,   43,   20,   21,  140,   90,   24,  182,   14,    6,    5,    5,   10,    3
  344,20110610,   25,   10,    1,  135,   77,   24,  195,   12,   39,   66,   26,   20,    7
  344,20110611,   44,   20,   20,  125,   81,   22,  167,   13,    2,    1,    1,   12,    4
  344,20110612,   44,   20,    1,  152,   84,    2,  188,   12,    0,   -1,   -1,   19,    4
  344,20110613,   59,   30,   24,  158,  129,    3,  199,   15,   30,   18,    9,   16,    7
  344,20110614,   22,   10,    3,  165,  112,   24,  207,   12,    0,    0,    0,    1,    2
  344,20110615,   30,    0,    4,  174,  109,    1,  233,   13,    4,    1,    1,    8,    6
  344,20110616,   43,   10,    3,  154,  130,   24,  173,   13,   77,  225,   82,    7,    7
  344,20110617,   49,   30,   19,  149,  124,    5,  177,   13,   26,   46,   38,   16,    7
  344,20110618,   90,   60,    1,  148,  109,   21,  178,   13,   42,   57,   11,    5,    7
  344,20110619,   60,   30,   17,  137,  122,   21,  155,   16,   58,  153,   55,   19,    8
  344,20110620,   29,    0,   19,  152,  112,    5,  191,   13,   20,   11,    7,   21,    7
  344,20110621,   68,   30,    2,  174,  146,    1,  217,   13,    0,   -1,   -1,    1,    7
  344,20110622,   65,   30,    3,  157,  128,   15,  174,   12,   11,   49,   30,   14,    7
  344,20110623,   65,   40,   20,  154,  120,   23,  189,   12,    4,   10,    7,   10,    5
  344,20110624,   41,   20,    5,  150,  112,    4,  182,   12,    0,   -1,   -1,    3,    4
  344,20110625,   53,   30,    2,  147,  116,    8,  172,   15,   88,   58,   12,   10,    8
  344,20110626,   33,   10,   13,  194,  161,    4,  231,   15,    0,    0,    0,    1,    5
  344,20110627,   34,   10,   24,  252,  154,    2,  315,   16,    0,    0,    0,    1,    1
  344,20110628,   31,   10,    1,  241,  187,   24,  322,   15,   46,  119,   68,   23,    6
  344,20110629,   37,   20,    2,  159,  114,   22,  190,   13,    8,    3,    3,    6,    6
  344,20110630,   31,   10,    5,  155,  102,    3,  200,   11,    0,   -1,   -1,   22,    5
  344,20110701,   36,    0,    5,  142,   89,    4,  181,   13,   27,  124,  110,    3,    3
  344,20110702,   34,   10,    1,  141,   90,   24,  182,   13,    3,    3,    3,    4,    5
  344,20110703,   35,   10,    2,  147,   87,    1,  189,   15,    0,    0,    0,    1,    2
  344,20110704,   23,    0,    1,  156,   77,    3,  212,   17,    0,    0,    0,    1,    4
  344,20110705,   23,   10,    2,  191,   97,    4,  247,   15,    0,    0,    0,    1,    4
  344,20110706,   50,   10,   23,  175,  130,   23,  207,   10,   21,   25,   14,   14,    5
